#front;back
仏;ほとけ<br><br>buddha
式;しき<br><br>ceremony, ritual, equation
猫;ねこ<br><br>cat
ご飯;ごはん<br><br>meal, cooked rice
人殺し;ひとごろし<br><br>murder, murderer
英会話;えいかいわ<br><br>english conversation
英語;えいご<br><br>english language, english
映す;うつす<br><br>to project, to reflect
食べ放題;たべほうだい<br><br>all you can eat
昼;ひる<br><br>noon
海軍;かいぐん<br><br>navy
時計;とけい<br><br>watch, clock
建築;けんちく<br><br>architecture, construction
地区;ちく<br><br>district, area, zone
区分;くぶん<br><br>division, classification
方法;ほうほう<br><br>method, way
軍;ぐん<br><br>army, troops, force
丈;たけ, だけ<br><br>height, only, just
不法;ふほう<br><br>illegal, unlawful
同期中;どうきちゅう<br><br>syncing, synchronizing
信号;しんごう<br><br>traffic light, signal, traffic signal, stoplight, semaphore
美味しい;おいしい<br><br>tasty, good tasting, delicious
昨今;さっこん<br><br>these days, nowadays
信心;しんじん<br><br>faith, belief
映画館;えいがかん<br><br>movie theater, cinema, movie theatre
飯;めし<br><br>meal, cooked rice, food
丈夫;じょうぶ<br><br>sturdy, firm
変化;へんか<br><br>change, transformation
信じる;しんじる<br><br>to believe, to trust in
建てる;たてる<br><br>to build, to construct
子猫;こねこ<br><br>kitten, kitty
大変;たいへん<br><br>serious, terrible, very, difficult, hard, hectic
不器用;ぶきよう<br><br>clumsy, unskillful
勇気;ゆうき<br><br>courage, bravery, valour, valor
合計;ごうけい<br><br>total, sum
英国;えいこく<br><br>britain, uk, united kingdom, england
今晩は;こんばんは<br><br>good evening
紀元後;きげんご<br><br>after death, ad, anno domini, ce, common era
昼休み;ひるやすみ<br><br>lunch break, noon break
列;れつ<br><br>line, line of things, line of people, queue
整理する;せいりする<br><br>to arrange, to organize, to sort
大仏;だいぶつ<br><br>giant buddha statue, daibutsu, giant statue of buddha, large buddha statue, large statue of buddha
自信;じしん<br><br>confidence, self confidence
返信;へんしん<br><br>reply
単に;たんに<br><br>simply, merely
単語;たんご<br><br>word, vocabulary
上司;じょうし<br><br>boss, superior
変事;へんじ<br><br>strange incident, unusual incident
夫;おっと<br><br>husband
好む;このむ<br><br>to be fond of, to like
帰る;かえる<br><br>to return home, to return
毎晩;まいばん<br><br>every night, nightly
晴れる;はれる<br><br>to clear up, to become sunny
食中毒;しょくちゅうどく<br><br>food poisoning
文法;ぶんぽう<br><br>grammar
泣く;なく<br><br>to cry
新築;しんちく<br><br>newly built, new building, new construction
輪ゴム;わごむ, わゴム<br><br>rubber band, elastic band
世紀;せいき<br><br>century
英和;えいわ<br><br>english japanese
指輪;ゆびわ<br><br>ring
伝;つて<br><br>intermediary, connections, go between
情けない;なさけない<br><br>miserable, pitiable, shameful, deplorable, wretched, sad, pitiful
放つ;はなつ<br><br>to fire, to hit, to break wind
信用;しんよう<br><br>trust, confidence
整える;ととのえる<br><br>to arrange, to put in order, to adjust, to prepare
晴れ;はれ<br><br>clear weather
殺人者;さつじんしゃ<br><br>murderer, killer
